textid,words,sylls,ltrvec,perf,isrhymed
1,alway say man diligently apply can,ay ay an y y an,A A B C C B,1 1 1 1 1 1,1
2,wise enterprise faculty will skill thrive,ise ise y ill ill ive,A A B C C D,1 1 1 1 1 1,1
3,left craft shone shall fall done,eft aft one all all one,A B C D D C,1 1 1 1 1 1,1
4,draper paper school butler cutler fool,er er ool er er ool,A A B A A B,0 0 1 0 0 1,1
5,trot wot cup physic sick up,ot ot up ic ick up,A A B C C B,1 1 1 0 0 1,1
6,law saw sell rise merchandise well,aw aw ell ise ise ell,A A B C C B,1 1 1 1 1 1,1
7,eke seek may suit dispute away,eke eek ay uit ute ay,A B C D D C,0 1 1 0 0 1,1
8,law straw man strife life whan,aw aw an ife ife an,A A B C C B,1 1 1 1 1 1,1
9,hatter smatter philosophy pedlar meddler theology,er er y ar er y,A A B C A B,0 0 1 1 0 1,1
10,ensue new cast evermore therefore last,ue ew ast ore ore ast,A A B C C B,1 1 1 1 1 1,1
11,tried verified late was pass pate,ied ied ate as ass ate,A A B C D B,0 0 1 1 1 1,1
12,would could frere will fell hear,ould ould ere ill ell ear,A A B C D B,1 1 1 1 1 1,1
13,so ago died pound round aside,o o ied ound ound ide,A A B C C B,1 1 0 1 1 0,1
14,would gold withal suffice thrice small,ould old al ice ice all,A A B C C B,1 1 1 1 1 0,1
15,day say certes cast last less,ay ay ertes ast ast ess,A A B C C D,1 1 0 1 1 1,1
16,man began employ certainly policy joy,an an oy y y oy,A A B C C B,1 1 1 1 1 1,1
17,blast overcast mischance wile beguile substance,ast ast ance ile uile ance,A A B C C B,1 1 1 1 0 1,1
18,out doubt purvey whit wit way,out oubt ey it it ay,A A B C C B,1 1 1 1 1 1,1
19,well deal pot thought nought not,ell eal ot ought ought ot,A A B C C B,1 0 1 1 1 1,1
20,fain again cup by covetously fairlyup,ain ain up y y yup,A A B C C D,1 1 1 1 1 0,1
21,breast best inclose well fell lose,east est ose ell ell ose,A A B C C B,1 0 1 1 1 1,1
22,then men merchandise it it wise,en en ise it it ise,A A B C C B,1 1 1 1 1 1,1
