textid,words,sylls,ltrvec,perf,isrhymed
1,time earth divine birth lights joy rights enjoy death blood faith bud move love,ime earth ine irth ights oy ights oy eath ood aith ud ove ove,A B C B D E D E F G H G I I,1 1 1 1 0 1 0 1 1 1 0 0 1 1,1
2,here thee me were there see be dear verse unite rehearse above delight love,ere ee e ere ere ee e ear erse ite earse ove ight ove,A B B A A B B A C D E F D F,1 1 0 1 1 1 0 1 1 1 0 1 1 1,1
3,light desire require sight requite praise raise delight forsook sense look recompence repine divine,ight ire uire ight uite aise aise ight ook ense ook ence ine ine,A B B A A C C A D E D E F F,1 1 0 1 0 1 1 1 1 0 1 0 1 1,1
4,obtain wise sacrifice gain remain eyes cries sustain thought joy wrought enjoy rejoice voice,ain ise ice ain ain eyes ies ain ought oy ought oy oice oice,A B B A A C B A D E D E F F,1 1 1 1 1 0 1 1 1 1 1 1 1 1,1
5,high begun sun sky eye shun done i desire depends fire ascends love above,igh un un y ye un one i ire ends ire ends ove ove,A B B A A B B C D E D E F F,1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
6,see aspire ire me be fire desire thee fly begot eye not art heart,ee ire ire e e ire ire ee y ot ye ot art eart,A B B A A B B A A C A C D D,1 1 1 0 0 1 1 1 0 1 0 1 1 1,1
7,love stay betray move remove stay away prove impossibilities gain divinities obtain lie i,ove ay ay ove ove ay ay ove ies ain ies ain ie i,A B B A A B B A C D C D E F,1 1 1 1 1 1 1 1 0 1 0 1 1 0,1
8,heart eye espy art dart by awry smart light become might come eye dry,eart ye y art art y y art ight ome ight ome ye y,A B B A A B B A C D C D B B,1 0 0 1 1 0 0 1 1 1 1 1 0 0,1
9,fraught high by caught thought nigh eye wrought remove sight love night ire fire,aught igh y aught ought igh ye ought ove ight ove ight ire ire,A B B A A B B A C D C D E E,1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
10,blame flattery thee fame name agree be same call such withal much this is,ame y ee ame ame ee e ame all uch al uch is is,A B B A A B B A C D C D E E,1 1 0 1 1 0 0 1 1 1 0 1 1 1,1
11,move bliss miss remove prove this is love augment pain content vain wit it,ove iss iss ove ove is is ove ent ain ent ain it it,A B B A A B B A C D C D E E,1 1 1 1 1 0 0 1 1 1 1 1 1 1,1
12,red shame became bred spread same came shed take proceed make seed flowers showers,ed ame ame ed ead ame ame ed ake eed ake eed ers ers,A B B A A B B A C D C D E E,1 1 1 1 1 1 1 1 1 1 1 1 0 0,1
13,quote glittering thing note coat bring king note bare gold appear behold appeareth weareth,uote ing ing ote oat ing ing ote are old ear old eth eth,A B B A A B B A D E F E G G,0 1 1 1 1 1 1 1 1 1 1 1 0 0,1
14,obtain joy coy vain gain annoy enjoy pain hear verse appear see rehearse me,ain oy oy ain ain oy oy ain ear erse ear ee earse e,A B B A A B B A C D C E F E,1 1 1 1 1 1 1 1 1 1 1 1 0 0,1
15,pretend fit benefit condescend intend it hit end taint paint abide art side heart,end it it end end it it end aint aint ide art ide eart,A B B A A B B A C C D E D E,1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
16,west bed banished blest rest hindered covered rest lights be nights is me miss,est ed ished est est ered ered est ights e ights is e iss,A B C A A D D A E F E G F H,1 1 0 1 1 0 0 1 0 1 0 1 1 1,1
17,rare crave gave spare are have save beware less befall possess all live give,are ave ave are are ave ave are ess all ess all ive ive,A B B A A B B A C D C D E E,1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
18,require descry spy conspire desire remedy eye fire made punishment betrayed banishment found drowned,uire y y ire ire y ye ire ade ent ayed ent ound owned,A B B A A B B A D E D E F F,0 1 1 1 1 1 1 1 1 1 1 1 1 1,1
19,she find mind charity thee kind pined be beg back leg lack behold cold,e ind ind y ee ind ined e eg ack eg ack old old,A B B A A B B A C D C D E E,1 1 1 0 1 1 1 1 1 1 1 1 1 1,1
20,feed lies cries proceed deed spies suffice need eat son meat done tree me,eed ies ies eed eed ies ice eed eat on eat one ee e,A B B A A B C A D E D E F F,1 0 0 1 1 0 1 1 1 1 1 0 1 0,1
21,may be see away assay me flee prey net taen get same entrap lap,ay e ee ay ay e ee ey et aen et ame ap ap,A A A A A A A A C D C E F F,1 1 0 1 1 0 0 1 1 0 1 1 1 1,1
22,art fly lie dart smart die i heart i is why kiss divine shrine,art y ie art art ie i eart i is y iss ine ine,A B B A A B C A C D B E F F,1 1 1 1 1 1 0 1 0 1 1 1 1 1,1
23,light fly be night might divinity me sight verse rehearse dumb known come blown,ight y e ight ight y e ight erse earse umb own ome own,A B C A A B C A D E F G F G,1 1 1 1 1 1 1 1 1 0 0 1 1 1,1
24,regard molest breast dared spared unrest opprest reward remain me in increased be released,ard est east ared ared est est ard ain e in eased e eased,A B B C C B B A D E F G E G,1 1 1 0 0 1 1 1 1 1 1 0 1 0,1
25,ill joy still enjoy joy told destroy unfold bold declare unrolled far trust unjust,ill oy ill oy oy old oy old old are olled ar ust ust,A B A B B C B C C D C D E E,1 1 1 1 1 1 1 1 1 1 1 0 1 1,1
