textid,words,sylls,ltrvec,perf,isrhymed
1,laureate race at case at place eye pye,eate ace at ase at ace ye ye,A B C B C B D D,0 1 1 1 1 1 0 0,1
2,sing good king food wing hood nation explanation,ing ood ing ood ing ood ion ion,A B A B A B C C,1 1 1 1 1 1 0 0,1
3,know wish below dish so fish high dry,ow ish ow ish o ish igh y,A B A B A B C C,1 1 1 1 1 1 1 1,1
4,excursion pages version sages assertion rages able babel,ion ages ion ages ion ages able el,A B A B A B C D,0 0 0 0 0 0 0 0,1
5,seclusion own fusion grown conclusion alone notion ocean,ion own ion own ion one ion ean,A B A B A B A C,0 1 0 1 0 0 0 1,1
6,thought vice brought price wrought excise still hill,ought ice ought ice ought ise ill ill,A B A B A B C C,1 1 1 1 1 1 1 1,1
7,brows go boughs below allows glow try posterity,ows o ughs ow ows ow y y,A B C B A B D D,0 1 0 1 0 1 1 1,1
8,muses steed chooses need loses meed days praise,es eed es eed es eed ays aise,A B A B A B C C,0 1 0 1 0 1 0 0,1
9,posterity reversion he assertion rarity immersion go know,y ion e ion y ion o ow,A B C B A B D D,1 0 1 0 1 0 1 1,1
10,tongues time wrongs sublime songs crime son begun,ues ime ongs ime ongs ime on un,A B C B C B D D,0 1 0 1 0 1 1 1,1
11,arise more prophecies hoar eyes poor obey castlereagh,ise ore ies oar eyes oor ey eagh,A B A B C B D E,1 1 1 1 0 0 1 0,1
12,miscreant gore pant shore want more fixed mixed,eant ore ant ore ant ore ixed ixed,A B C B C B D D,0 1 1 1 1 1 0 0,1
13,phrase vile praise smile blaze toil notion motion,ase ile aise ile aze oil ion ion,A B A B A B C C,1 1 0 1 0 0 0 0,1
14,trade behind afraid confined made mankind chains gains,ade ind aid ined ade ind ins ins,A B A B A B C C,1 1 1 1 1 1 0 0,1
15,mind it bind fit blind wit ice vice,ind it ind it ind it ice ice,A B A B A B C C,1 1 1 1 1 1 1 1,1
16,bonds italy desponds thee wounds me still ill,onds y onds ee unds e ill ill,A B A B C B D D,0 1 0 0 0 0 1 1,1
17,dedicate you predicate blue educate too quite ultrajulian,ate ou ate ue ate oo uite ian,A B A B A B C D,1 1 1 0 1 1 0 0,1
18,want one cant one vaunt juan pantomime time,ant one ant one aunt uan ime ime,A B A B A C D D,1 1 1 1 0 0 1 1,1
