textid,poem,endwords,goldvector
1,POEM0,all paradise cries carnival old feet gold end greet friend,1 2 2 1 3 4 3 5 4 5
2,POEM0,wise eyes star night afar light hours lawn dancingplaces flowers childfaces dawn,1 1 2 3 2 3 4 5 6 4 6 5
3,POEM1,eyes hands dies sands,1 2 1 2
4,POEM1,making crowned waking sound,1 2 1 2
5,POEM1,sight fargleaming twilight dreaming,1 2 1 2
6,POEM1,drear deep there weep,1 2 1 2
7,POEM1,flowers us hours tenebrous,1 2 1 2
8,POEM1,meadows fills shadows hills,1 2 1 2
9,POEM1,wing dear remembering here,1 2 1 2
10,POEM2,within only lonely win crying sighing yearning unburning ecstasy lie,1 2 2 1 3 3 4 4 5 5
11,POEM2,tread head wings fire desire things ways bands hands strays praise cries height eyes light,1 1 2 3 3 2 4 5 5 4 4 5 6 5 6
12,POEM3,sky clover cry cry over sigh lover over i recover over die,1 2 1 1 2 1 2 2 1 2 2 1
13,POEM3,wearily sky over sky i lover die sky,1 1 2 1 1 2 1 1
14,POEM4,asleep face cheap place making,1 2 1 2 3
15,POEM4,halfover eyes lover sighs abreaking,1 2 1 2 3
16,POEM4,quiver slime shiver time ashaking,1 2 1 2 3
17,POEM5,world sky furled lie never sunlight ever night,1 2 1 2 3 4 3 4
18,POEM5,fall therein thin flowerpetal again plain,1 2 2 1 3 3
19,POEM6,band men again strand unknown shade alone afraid,1 2 2 1 3 4 3 4
20,POEM6,me moon inland tune sand sea,1 2 3 2 3 1
21,POEM7,mother other shade afraid,1 1 2 2
22,POEM7,pain her again her woe sighing do dying,1 2 1 2 3 4 3 4
23,POEM7,her her pride died,1 1 2 2
24,POEM7,strong stronger long longer woe sighing do dying,1 2 1 2 3 4 3 4
25,POEM8,skies eyes find wind west quest trod god fills hills come dumb song long beat feet unreturning burning kin therein dwell lovable how thou roaming homing desire fire bliss this still hill shade unafraid sees trees white night,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18 19 19
26,POEM9,away day night asleep creep delight say,1 1 2 3 3 2 1
27,POEM9,dumb come door feet meet more street,1 1 2 3 3 2 3
28,POEM9,places mire faces us desire amorous,1 2 1 3 2 3
29,POEM10,fate desire gate fire blasphemy feet beat cry,1 2 1 2 3 4 4 3
30,POEM10,sun grown begun councilhalls throne walls,1 2 1 3 2 3
31,POEM11,worshipper litanies myrrh sighs err vanities wanderer skies seawater chalices wanderer cries whirr votaries stir mysteries tenderer is luteplayer,1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1
32,POEM12,sweat roar yet more slimywet more yet snore,1 2 1 2 1 2 1 2
33,POEM12,again rain somewhere air before snore,1 1 2 2 3 3
34,POEM13,sleep eternity deep me,1 2 1 2
35,POEM13,bars curse stars universe,1 2 1 2
36,POEM13,broken passed token last,1 2 1 2
37,POEM13,anew song you strong,1 2 1 2
38,POEM13,wise flame skies name,1 2 1 2
39,POEM13,thereunder fire thunder desire,1 2 1 2
40,POEM13,spaces silently faces infinity,1 2 1 2
41,POEM13,love one above alone,1 2 1 2
42,POEM14,restingplace while embrace smile away day mile face,1 2 1 2 3 3 2 1
43,POEM14,somewhere know light go there night,1 2 3 2 1 3
44,POEM15,friends ends fair hair were,1 1 2 2 2
45,POEM15,again pain know so evening sunrising stand hand hair were old gold,1 1 2 2 3 3 4 4 5 5 6 6
46,POEM15,wise eyes memories,1 1 1
47,POEM16,tire suddenly mire patiently,1 2 1 2
48,POEM16,blowing tide unknowing died,1 2 1 2
49,POEM16,dream host gleam ghost,1 2 1 2
50,POEM16,head dead,1 1
51,POEM17,true sea you me unwist hell mist tell whom dress gloom loneliness sigh i,1 2 1 2 3 4 3 4 5 6 5 6 7 7
52,POEM18,wanted eyes granted wise fear shamed near tamed touch you much do unspoken awoken,1 2 1 2 3 4 3 4 5 6 5 6 7 7
53,POEM19,gone delight alone night,1 2 1 2
54,POEM19,death thrust breath dust,1 2 1 2
55,POEM19,yet unsatisfied flit died,1 2 1 2
56,POEM19,sun unconfined run wind,1 2 1 2
57,POEM19,air days fare ways,1 2 1 2
58,POEM19,lie view i you,1 2 1 2
59,POEM19,wind afterglow find grow,1 2 1 2
60,POEM19,desiring air quiring there,1 2 1 2
61,POEM19,dew height hue light,1 2 1 2
62,POEM19,higher learn fire burn,1 2 1 2
63,POEM19,glow above know love,1 2 1 2
64,POEM20,kindliness press dream stuff enough seem playing saying grown kindliness known less own caress,1 1 2 3 3 2 4 4 5 1 5 1 5 1
65,POEM20,flame shame eyes do two wise away skies stay content day lament,1 1 2 3 3 2 4 2 4 5 4 5
66,POEM20,and hand near hear skies eyes before more dress kindliness,1 1 2 2 3 3 4 4 5 5
67,POEM21,mummia lead africa bed,1 2 1 2
68,POEM21,medicined dust find lust,1 2 1 2
69,POEM21,rhyme infinity time ecstasy,1 2 1 2
70,POEM21,me skies see eyes,1 2 1 2
71,POEM21,dead place head face,1 2 1 2
72,POEM21,limbs wreathe hymns breathe,1 2 1 2
73,POEM21,it press lit nakedness,1 2 1 2
74,POEM21,clung mine flung divine,1 2 1 2
75,POEM21,shaded bliss faded this,1 2 1 2
76,POEM22,lies ecstasies steal feel stream dream glides tides him dim gape shape hollow follow dream stream world curled arrows narrows one sun deep sleep illumes glooms subdues hues decomposes roses skies eyes white night green between one dun knows grows falling calling mud blood still will he memory driven heaven,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18 19 19 20 20 21 21 22 22 23 23 24 24 25 25
77,POEM22,laughter after cries rise above love clinging singing sound around above love,1 1 2 2 3 3 4 4 5 5 6 6
78,POEM22,there bare whisperless deliciousness tide glide harmonies is blood mud sun run dim him,1 1 2 2 3 3 4 4 5 5 6 6 7 7
79,POEM23,can man fate hate slips lips cry by grows nose unsatisfied denied gape shape embossed lost ways grace be knee dwell perfectible humanity simplicity bear sphere be steadfastly delight night,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15
80,POEM24,cried places wayside faces paces,1 2 1 2 2
81,POEM24,me sun me gone on,1 2 1 2 2
82,POEM24,slept be crept distantly me,1 2 1 2 2
83,POEM24,day quite way sight night,1 2 1 2 2
84,POEM24,hush swirled bush curled world,1 2 1 2 2
85,POEM24,knew brows grew boughs house,1 2 1 2 2
86,POEM24,me creep me weep asleep,1 2 1 2 2
87,POEM25,hill grass pass still die on i won,1 2 2 1 3 4 3 4
88,POEM25,here said tread were say away,1 2 2 1 3 3
89,POEM26,again last pain past,1 2 1 2
