textid,poem,endwords,goldvector
1,POEM0,alway say man diligently apply can,1 1 2 3 3 2
2,POEM0,wise enterprise faculty will skill thrive,1 1 2 3 3 2
3,POEM0,left craft shone shall fall done,1 1 2 3 3 2
4,POEM0,draper paper school butler cutler fool,1 1 2 3 3 2
5,POEM0,trot wot cup physic sick up,1 1 2 3 3 2
6,POEM0,law saw sell rise merchandise well,1 1 2 3 3 2
7,POEM0,eke seek may suit dispute away,1 1 2 3 3 2
8,POEM0,law straw man strife life whan,1 1 2 3 3 2
9,POEM0,hatter smatter philosophy pedlar meddler theology,1 1 2 3 3 2
10,POEM0,ensue new cast evermore therefore last,1 1 2 3 3 2
11,POEM0,tried verified late was pass pate,1 1 2 3 3 2
12,POEM0,would could frere will fell hear,1 1 2 3 3 2
13,POEM0,so ago died pound round aside,1 1 2 3 3 2
14,POEM0,would gold withal suffice thrice small,1 1 2 3 3 2
15,POEM0,day say certes cast last less,1 1 2 3 3 2
16,POEM0,man began employ certainly policy joy,1 1 2 3 3 2
17,POEM0,blast overcast mischance wile beguile substance,1 1 2 3 3 2
18,POEM0,out doubt purvey whit wit way,1 1 2 3 3 2
19,POEM0,well deal pot thought nought not,1 1 2 3 3 2
20,POEM0,fain again cup by covetously fairlyup,1 1 2 3 3 2
21,POEM0,breast best inclose well fell lose,1 1 2 3 3 2
22,POEM0,then men merchandise it it wise,1 1 2 3 3 2
23,POEM0,gear wear spent nice price miscontent,1 1 2 3 3 2
24,POEM0,sport resort company play day merrily,1 1 2 3 3 2
25,POEM0,sworn born hour he degree honour,1 1 2 3 3 2
26,POEM0,doubt out fair strait wait mayr,1 1 2 3 3 2
27,POEM0,doubtless meekness pride go so aside,1 1 2 3 3 2
28,POEM0,cathrine line tide devotion promotion abide,1 1 2 3 3 2
29,POEM0,fast past many debt get penny,1 1 2 3 3 2
30,POEM0,stout out hedge twain fain pledge,1 1 2 3 3 2
31,POEM0,there fear thither fain again whither,1 1 2 3 3 2
32,POEM0,this his abode lay alway abroad,1 1 2 3 3 2
33,POEM0,than man to officer enquire do,1 1 2 3 3 2
34,POEM0,ansred afraid therefore behest rest more,1 1 2 3 3 2
35,POEM0,he be out said afraid about,1 1 2 3 3 2
36,POEM0,game same ure sake bake cure,1 1 2 3 3 2
37,POEM0,both goth officer day array frere,1 1 2 3 3 2
38,POEM0,dight might deny dookd lookd religiously,1 1 2 3 3 2
39,POEM0,glass pass peerd pride side frerd,1 1 2 3 3 2
